阿Q	ĀQ
耐热	nàirè
耐热钢	nàirègāng
耐热合金	nàirèhéjīn
耐人寻味	nàirénxúnwèi
耐心	nàixīn
耐用	nàiyòng
耐用品	nàiyòngpǐn
耐用消费品	nàiyòngxiāofèipǐn
男单	nándān
男盗女娼	nándàonǚchāng
男儿	nánér
男耕女织	nángēngnǚzhī
男孩	nánhái
男欢女爱	nánhuānnǚài
男婚女嫁	nánhūnnǚjià
男角	nánjué
男篮	nánlán
男模	nánmó
男男女女	nánnánnǚnǚ
男女	nánnǚ
男女老少	nánnǚlǎoshào
男女平等	nánnǚpíngděng
男排	nánpái
男朋友	nánpéngyǒu
男仆	nánpú
男青年	nánqīngnián
男生	nánshēng
男式	nánshì
男双	nánshuāng
男性	nánxìng
男婴	nányīng
男主角	nánzhǔjué
男子	nánzǐ
男子汉	nánzǐhàn
男尊女卑	nánzūnnǚbēi
南安普顿	nánānpǔdùn
南北	nánběi
南北朝	nánběicháo
南侧	náncè
南昌	Nánchāng
南昌市	Nánchāngshì
南朝	Náncháo
南朝鲜	náncháoxiān
南充	nánchōng
南斗	nándǒu
南方	nánfāng
南海	nánhǎi
南箕北斗	nánjīběidǒu
南极	nánjí
南极区	nánjíqū
南极圈	nánjíquān
南极虾	nánjíxiā
南郊	nánjiāo
南京	Nánjīng
南京大学	Nánjīngdàxué
南京军区	Nánjīng	jūnqū
南京市	Nánjīng	Shì
南卡罗来纳	Nánkǎluóláinà
南开大学	Nánkāidàxué
南柯一梦	nánkēyīmèng
南腊河	Nánlàhé
南来北往	nánláiběiwǎng
南乐	nányuè
南面	nánmiàn
南南合作	nánnánhézuò
南泥湾	Nánníwān
南宁	Nánníng
南宁市	Nánníng	Shì
南腔	nánqiāng
南腔北调	nánqiāngběidiào
南曲	nánqǔ
南沙	Nánshā
南沙群岛	Nánshāqúndǎo
南山堡村	nánshānbǎocūn
南山可移	nánshānkěyí
南水北调	nánshuǐběidiào
南斯拉夫	nánsīlāfū
南通	nántōng
南通社	nántōngshè
南纬	nánwěi
南戏	nánxì
南下	nánxià
南兴镇	Nánxìngzhèn
南浔区	Nánxúnqū
南亚	Nán	Nà
南阳	nányáng
南辕北辙	nányuánběizhé
南征北战	nánzhēngběizhàn
难熬	nánáo
难办	nánbàn
难胞	nànbāo
难保	nánbǎo
难缠	nánchán
难产	nánchǎn
难吃	nánchī
难船	nánchuán
难辞其咎	náncíqíjiù
难当	nándāng
难倒	nándǎo
难道	nándào
难道说	nándàoshuō
难得	nándé
难点	nándiǎn
难懂	nándǒng
难度	nándù
难分难解	nánfēnnánjiě
难分难舍	nánfēnnánshě
难割难舍	nángēnánshě
难怪	nánguài
难关	nánguān
难过	nánguò
难活	nánhuó
难解难分	nánjiěnánfēn
难堪	nánkān
难看	nánkàn
难免	nánmiǎn
难民	nànmín
难民营	nànmínyíng
难耐	nánnài
难能可贵	nánnéngkěguì
难侨	nànqiáo
难人	nánrén
难忍	nánrěn
难色	nánsè
难上加难	nánshàngjiānán
难上难	nánshàngnán
难舍难分	nánshěnánfēn
难事	nánshì
难受	nánshòu
难说	nánshuō
难题	nántí
难听	nántīng
难忘	nánwàng
难为情	nánwéiqíng
难闻	nánwén
难兄难弟	nánxiōngnándì
难言	nányán
难言之隐	nányánzhīyǐn
难以	nányǐ
难以启齿	nányǐqíchǐ
难以忍受	nányǐrěnshòu
难以忘怀	nányǐwànghuái
难以形容	nányǐxíngróng
难以置信	nányǐzhìxìn
难友	nànyǒu
难于	nányú
难于登天	nányúdēngtiān
难找	nánzhǎo
难属	nànshǔ
难住	nánzhù
喃喃自语	nánnánzìyǔ
囊空如洗	nángkōngrúxǐ
囊括	nángkuò
囊括四海	nángkuòsìhǎi
孬种	nāozhǒng
挠度	náodù
挠曲	náoqǔ
挠系数	náoxìshù
恼火	nǎohuǒ
恼怒	nǎonù
恼羞成怒	nǎoxiūchéngnù
脑充血	nǎochōngxuè
脑干	nǎogān
脑海	nǎohǎi
脑浆	nǎojiāng
脑筋	nǎojīn
脑壳	nǎoké
脑力	nǎolì
脑力劳动	nǎolìláodòng
脑量	nǎoliàng
脑满肠肥	nǎomǎnchángféi
脑贫血	nǎopínxuè
脑栓塞	nǎoshuānsè
脑体倒挂	nǎotǐdàoguà
脑血管	nǎoxuèguǎn
脑血栓	nǎoxuèshuān
脑溢血	nǎoyìxuè
脑子	nǎozǐ
闹别扭	nàobièniu
闹革命	nàogémìng
闹哄	nàohong
闹哄哄	nàohonghǒng
闹剧	nàojù
闹乱子	nàoluànzi
闹情绪	nàoqíngxù
闹嚷嚷	nàorāngrɑng
闹市	nàoshì
闹市区	nàoshìqū
闹事	nàoshì
闹戏	nàoxì
闹笑话	nàoxiàohuɑ
闹意见	nàoyìjiàn
闹钟	nàozhōng
淖尔	nàoěr
呐喊	nàhǎn
呢帽	nemào
呢喃	nínán
呢绒	níróng
呢子	nízǐ
嫩红	nènhóng
嫩绿	nènlǜ
能不能	néngbunéng
能动	néngdòng
能动性	néngdòngxìng
能否	néngfǒu
能干	nénggàn
能歌善舞	nénggēshànwǔ
能工巧匠	nénggōngqiǎojiàng
能够	nénggòu
能耗	nénghào
能见度	néngjiàndù
能力	nénglì
能量	néngliàng
能掐会算	néngqiāhuìsuàn
能屈能伸	néngqūnéngshēn
能人	néngrén
能上	néngshàng
能上能下	néngshàngnéngxià
能手	néngshǒu
能说会道	néngshuōhuìdào
能为	néngwéi
能文能武	néngwénnéngwǔ
能行	néngxíng
能言善辩	néngyánshànbiàn
能源	néngyuán
能源部	néngyuánbù
能者多劳	néngzhěduōláo
能者为师	néngzhěwéishī
能征惯战	néngzhēngguànzhàn
尼安萨省	níānsàshěng
尼泊尔	níbóěr
尼古拉斯	nígǔlāsī
尼古拉耶夫	nígǔlāyēfū
尼加拉瓜	níjiālāguā
尼克松	níkèsōng
尼赖吉哈佐	nílàijíhāzuǒ
尼勒克县	nílèkèxiàn
尼亚加拉	níyàjiālā
泥巴	níbā
泥饭碗	nífànwǎn
泥肥	níféi
泥封	nífēng
泥工	nígōng
泥垢	nígòu
泥古不化	nìgǔbùhuà
泥灰岩	níhuīyán
泥浆	níjiāng
泥金	níjīn
泥坑	níkēng
泥疗	níliáo
泥流	níliú
泥煤	níméi
泥淖	nínào
泥泞	nínìng
泥牛入海	níniúrùhǎi
泥盆纪	nípénjì
泥菩萨	nípúsà
泥墙	níqiáng
泥鳅	níqiū
泥人	nírén
泥人儿	nírénér
泥沙	níshā
泥沙俱下	níshājùxià
泥石流	níshíliú
泥水	níshuǐ
泥水匠	níshuǐjiɑng
泥水选种	níshuǐxuánzhǒng
泥塑	nísù
泥塑木雕	nísùmùdiāo
泥胎	nítāi
泥潭	nítán
泥炭	nítàn
泥炭土	nítàntǔ
泥塘	nítáng
泥土	nítǔ
泥腿	nítuǐ
泥腿子	nítuǐzi
泥洼	níwā
泥瓦匠	níwǎjiɑng
泥丸	níwán
泥污	níwū
泥岩	níyán
泥俑	níyǒng
泥渣	nízhā
泥沼	nízhǎo
泥子	nízǐ
泥足巨人	nízújùrén
霓虹灯	níhóngdēng
你好	nǐhǎo
你们	nǐmen
你死我活	nǐsǐwǒhuó
你追我赶	nǐzhuīwǒgǎn
拟定	nǐdìng
拟稿	nǐgǎo
拟议	nǐyì
拟于不伦	nǐyúbùlún
拟作	nǐzuò
昵称	nìchēng
逆差	nìchā
逆耳	nìěr
逆反心理	nìfǎnxīnlǐ
逆反应	nìfǎnyìng
逆函数	nìhánshù
逆境	nìjìng
逆来顺受	nìláishùnshòu
逆流	nìliú
逆水行舟	nìshuǐxíngzhōu
逆我者亡	nìwǒzhěwáng
逆行	nìxíng
逆转	nìzhuǎn
匿藏	nìcáng
匿名	nìmíng
匿名信	nìmíngxìn
匿影藏形	nìyǐngcángxíng
溺爱	nìài
拈花惹草	niānhuārěcǎo
拈轻怕重	niānqīngpàzhòng
年报	niánbào
年产	niánchǎn
年产量	niánchǎnliàng
年产值	niánchǎnzhí
年长	niánzhǎng
年初	niánchū
年代	niándài
年底	niándǐ
年度	niándù
年份	niánfèn
年复一年	niánfùyīnián
年富力强	niánfùlìqiáng
年高德劭	niángāodéshào
年过半百	niánguòbànbǎi
年号	niánhào
年华	niánhuá
年会	niánhuì
年货	niánhuò
年级	niánjí
年纪	niánjì
年假	niánjiǎ
年鉴	niánjiàn
年较差	niánjiàochà
年节	niánjié
年景	niánjǐng
年久	niánjiǔ
年久失修	niánjiǔshīxiū
年均	niánjūn
年刊	niánkān
年老	niánlǎo
年老体弱	niánlǎotǐruò
年历	niánlì
年利	niánlì
年利率	niánlìlǜ
年龄	niánlíng
年龄结构	niánlíngjiégòu
年龄特征	niánlíngtèzhēng
年率	niánlǜ
年轮	niánlún
年迈	niánmài
年末	niánmò
年内	niánnèi
年年	niánnián
年平均	niánpíngjūn
年前	niánqián
年青	niánqīng
年轻	niánqīng
年轻化	niánqīnghuà
年轻力壮	niánqīnglìzhuàng
年轻气盛	niánqīngqìshèng
年轻人	niánqīngrén
年轻有为	niánqīngyǒuwéi
年少	niánshào
年深日久	niánshēnrìjiǔ
年事	niánshì
年事已高	niánshìyǐgāo
年收入	niánshōurù
年岁	niánsuì
年头	niántóu
年下	niánxià
年限	niánxiàn
年逾古稀	niányúgǔxī
年终	niánzhōng
黏度	niándù
黏合	niánhé
黏合剂	niánhéjì
黏胶纤维	niánjiāoxiānwéi
黏结	niánjié
黏结性	niánjiéxìng
黏着	niánzhuó
黏着力	niánzhuólì
黏着语	niánzhuóyǔ
捻度	niǎndù
碾场	niǎnchǎng
碾坊	niǎnfāng
碾磨	niǎnmó
碾磨机	niǎnmójī
碾压	niǎnyā
念佛	niànfó
念念不忘	niànniànbùwàng
念书	niànshū
念头	niàntóu
念兹在兹	niànzīzàizī
娘亲	niángqīn
酿成	niàngchéng
酿酒	niàngjiǔ
酿母菌	niàngmǔjūn
酿造	niàngzào
鸟合之众	niǎohézhīzhòng
鸟尽弓藏	niǎojìngōngcáng
鸟瞰	niǎokàn
鸟笼	niǎolóng
鸟枪换炮	niǎoqiānghuànpào
鸟雀	niǎoquè
鸟舍	niǎoshě
鸟兽散	niǎoshòusàn
鸟语	niǎoyǔ
鸟语花香	niǎoyǔhuāxiāng
袅袅婷婷	niǎoniǎotíngtíng
尿崩症	niàobēngzhèng
尿布	niàobù
尿常规	niàochángguī
尿床	niàochuáng
尿道	niàodào
尿道炎	niàodàoyán
尿毒症	niàodúzhèng
尿肥	niàoféi
尿急	niàojí
尿炕	niàokàng
尿囊	niàonáng
尿盆	niàopén
尿片	niàopiàn
尿频	niàopín
尿素	niàosù
尿酸	niàosuān
尿桶	niàotǒng
尿血	niàoxiě
捏合	niēhé
捏弄	niēnòng
捏腔拿调	niēqiāngnádiào
捏一把汗	niēyībǎhàn
捏造	niēzào
涅而不缁	nièérbùzī
涅瓦河	nièwǎhé
聂拉木	nièlāmù
啮合	nièhé
镍钢	niègāng
颞骨	niègǔ
蹑手蹑脚	nièshǒunièjiǎo
蹑足潜踪	nièzúqiánzōng
孽种	nièzhǒng
您好	nínhǎo
宁波	níngbō
宁静	níngjìng
宁可	nìngkě
宁肯	nìngkěn
宁缺毋滥	nìngquēwùlàn
宁死不屈	nìngsǐbùqū
宁为鸡口	nìngwéijīkǒu
宁为玉碎	nìngwéiyùsuì
宁夏	níngxià
宁夏回族自治区	níngxiàhuízúzìzhìqū
宁夏区	níngxiàqū
宁夏自治区	níngxiàzìzhìqū
宁愿	nìngyuàn
拧成一股绳	nǐngchéngyīgǔshéng
狞恶	níngè
柠檬色	níngméngsè
凝成	níngchéng
凝固	nínggù
凝集	níngjí
凝集反应	níngjífǎnyìng
凝结	níngjié
凝结水	níngjiéshuǐ
凝结物	níngjiéwù
凝聚	níngjù
凝聚力	níngjùlì
凝露	nínglù
凝神	níngshén
凝视	níngshì
凝望	níngwàng
凝血	níngxuè
凝血酶	níngxuèméi
凝血因子	níngxuèyīnzǐ
凝重	níngzhòng
牛扒	niúpá
牛不喝水强按头	niúbùhēshuǐqiǎngàntóu
牛车	niúchē
牛刀小试	niúdāoxiǎoshì
牛鼎烹鸡	niúdǐngpēngjī
牛顿	niúdùn
牛肝菌	niúgānjūn
牛鬼蛇神	niúguǐshéshén
牛角	niújiǎo
牛角尖	niújiǎojiān
牛劲	niújìn
牛郎	niúláng
牛郎星	niúlángxīng
牛郎织女	niúlángzhīnǚ
牛毛雨	niúmáoyǔ
牛奶	niúnǎi
牛排	niúpái
牛皮	niúpí
牛肉干	niúròugān
牛肉汤	niúròutāng
牛舍	niúshě
牛溲马勃	niúsōumǎbó
牛头不对马嘴	niútóubùduìmǎzuǐ
牛头马面	niútóumǎmiàn
牛衣对泣	niúyīduìqì
牛仔服	niúzǎifú
忸怩作态	niǔnízuòtài
扭打	niǔdǎ
扭角羚	niǔjiǎolíng
扭结	niǔjié
扭亏为盈	niǔkuīwéiyíng
扭亏增盈	niǔkuīzēngyíng
扭曲	niǔqū
扭伤	niǔshāng
扭转	niǔzhuǎn
扭转乾坤	niǔzhuǎnqiánkūn
扭转形变	niúzhuǎnxíngbiàn
纽带	niǔdài
纽顿阿比	niǔdùnābǐ
纽结	niǔjié
纽卡斯尔	niǔkǎsīěr
纽伦堡	niǔlúnbǎo
纽约	niǔyuē
纽约城	niǔyuēchéng
纽约港	niǔyuēgǎng
纽约时报	niǔyuēshíbào
纽约市	niǔyuēshì
纽约证券交易所	niǔyuēzhèngquànjiāoyìsuǒ
纽约州	niǔyuēzhōu
农产品	nóngchǎnpǐn
农场	nóngchǎng
农场主	nóngchǎngzhǔ
农村	nóngcūn
农村信用合作社	nóngcūnxìnyònghézuòshè
农大	nóngdà
农代会	nóngdàihuì
农贷	nóngdài
农夫	nóngfū
农夫们	nóngfūmen
农妇	nóngfù
农副产品	nóngfùchǎnpǐn
农工	nónggōng
农工党	nónggōngdǎng
农工民主党	nónggōngmínzhǔdǎng
农工商	nónggōngshāng
农户	nónghù
农会	nónghuì
农活	nónghuó
农机	nóngjī
农技	nóngjì
农家	nóngjiā
农家肥料	nóngjiāféiliào
农经系	nóngjīngxì
农救会	nóngjiùhuì
农具	nóngjù
农科院	nóngkēyuàn
农垦	nóngkěn
农历	nónglì
农林	nónglín
农林牧副渔	nónglínmùfùyú
农忙	nóngmáng
农贸	nóngmào
农贸市场	nóngmàoshìchǎng
农民	nóngmín
农民协会	nóngmínxiéhuì
农牧民	nóngmùmín
农牧区	nóngmùqū
农牧业	nóngmùyè
农舍	nóngshě
农时	nóngshí
农田	nóngtián
农田基本建设	nóngtiánjīběnjiànshè
农田水利	nóngtiánshuǐlì
农委	nóngwěi
农闲	nóngxián
农校	nóngxiào
农行	nóngháng
农畜	nóngchù
农学	nóngxué
农学院	nóngxuéyuàn
农药	nóngyào
农业	nóngyè
农业部	nóngyèbù
农业大学	nóngyèdàxué
农业贷款	nóngyèdàikuǎn
农业国	nóngyèguó
农业合作化	nóngyèhézuòhuà
农业机械	nóngyèjīxiè
农业机械化	nóngyèjīxièhuà
农业技术	nóngyèjìshù
农业区	nóngyèqū
农业区划	nóngyèqūhuà
农业税	nóngyèshuì
农业现代化	nóngyèxiàndàihuà
农业银行	nóngyèyínháng
农业用地	nóngyèyòngdì
农业总产值	nóngyèzǒngchǎnzhí
农艺师	nóngyìshī
农用	nóngyòng
农运会	nóngyùnhuì
农转非	nóngzhuǎnfēi
农资	nóngzī
农作物	nóngzuòwù
浓度	nóngdù
浓厚	nónghòu
浓绿	nónglǜ
浓眉大眼	nóngméidàyǎn
浓密	nóngmì
浓墨重彩	nóngmòzhòngcǎi
浓缩	nóngsuō
浓汤	nóngtāng
浓郁	nóngyù
浓重	nóngzhòng
浓妆艳抹	nóngzhuāngyànmǒ
脓尿	nóngniào
脓血症	nóngxuèzhèng
弄不清	nòngbuqīng
弄潮	nòngcháo
弄潮儿	nòngcháoér
弄臣	nòngchén
弄错	nòngcuò
弄到	nòngdào
弄鬼	nòngguǐ
弄好	nònghǎo
弄黑	nònghēi
弄坏	nònghuài
弄假	nòngjiǎ
弄假成真	nòngjiǎchéngzhēn
弄僵	nòngjiāng
弄垮	nòngkuǎ
弄乱	nòngluàn
弄弄	nòngnòng
弄巧成拙	nòngqiǎochéngzhuō
弄清	nòngqīng
弄清楚	nòngqīngchu
弄权	nòngquán
弄死	nòngsǐ
弄堂	lòngtáng
弄通	nòngtōng
弄瓦	nòngwǎ
弄虚作假	nòngxūzuòjiǎ
弄璋	nòngzhāng
弄璋之喜	nòngzhāngzhīxǐ
奴隶	núlì
奴隶社会	núlìshèhuì
奴隶制度	núlìzhìdù
奴仆	núpú
奴颜婢膝	núyánbìxī
奴颜媚骨	núyánmèigǔ
奴役	núyì
驽马恋栈豆	númǎliànzhàndòu
驽马十驾	númǎshíjià
努尔哈赤	nǔěrhāchì
努库阿洛法	nǔkùāluòfǎ
努力	nǔlì
努瓦迪布	nǔwǎdíbù
努瓦克肖特	nǔwǎkèxiāotè
怒不可遏	nùbùkěè
怒斥	nùchì
怒冲冲	nùchōngchōng
怒发冲冠	nùfàchōngguān
怒放	nùfàng
怒号	nùháo
怒喝	nùhē
怒吼	nùhǒu
怒火	nùhuǒ
怒火冲天	nùhuǒchōngtiān
怒火中烧	nùhuǒzhōngshāo
怒江	nùjiāng
怒目而视	nùmùérshì
怒目横眉	nùmùhéngméi
怒气冲冲	nùqìchōngchōng
怒气冲天	nùqìchōngtiān
怒色	nùsè
怒形于色	nùxíngyúsè
女兵	nǚbīng
女大十八变	nǚdàshíbābiàn
女单	nǚdān
女队	nǚduì
女儿	nǚér
女方	nǚfāng
女服	nǚfú
女工	nǚgōng
女孩	nǚhái
女孩子	nǚháizǐ
女红	nǚgōng
女将	nǚjiàng
女角	nǚjué
女篮	nǚlán
女郎	nǚláng
女排	nǚpái
女朋友	nǚpéngyǒu
女仆	nǚpú
女强人	nǚqiángrén
女色	nǚsè
女神	nǚshén
女生	nǚshēng
女士	nǚshì
女王	nǚwáng
女校	nǚxiào
女性	nǚxìng
女佣	nǚyōng
女招待	nǚzhāodài
女中丈夫	nǚzhōngzhàngfu
女主角	nǚzhǔjué
女装	nǚzhuāng
女子	nǚzǐ
女作家	nǚzuòjiā
虐待	nuèdài
暖房	nuǎnfáng
暖流	nuǎnliú
暖暖和和	nuǎnnuǎnhuohé
暖气	nuǎnqì
暖色	nuǎnsè
暖色调	nuǎnsèdiào
挪借	nuójiè
挪用	nuóyòng
诺夫哥罗德	nuòfūgēluódé
诺福克岛	nuòfúkèdǎo
诺福克郡	nuòfúkèjùn
诺曼底	nuòmàndǐ
诺萨勒顿	nuòsàlèdùn
诺思克利夫	nuòsīkèlìfū
诺瓦拉市	nuòwǎlāshì
诺言	nuòyán
懦夫	nuòfū
懦弱	nuòruò
讴歌	ōugē
欧安会	ōuānhuì
欧共体	ōugòngtǐ
欧美	ōuměi
欧内斯特	ōunèisītè
欧内斯廷	ōunèisītíng
欧佩克	ōupèikè
欧委会	ōuwěihuì
欧亚大陆	ōuyàdàlù
欧洲	ōuzhōu
欧洲共同体	ōuzhōugòngtóngtǐ
欧洲经济共同体	ōuzhōujīngjìgòngtóngtǐ
欧洲经济委员会	ōuzhōujīngjìwěiyuánhuì
欧洲区	ōuzhōuqū
欧洲投资银行	ōuzhōutóuzīyínháng
殴打	ōudǎ
殴斗	ōudòu
呕吐	ǒutù
呕心沥血	ǒuxīnlìxuè
呕血	ǒuxuè
偶尔	ǒuěr
偶发	ǒufā
偶发性	ǒufāxìng
偶函数	ǒuhánshù
偶合	ǒuhé
偶见	ǒujiàn
偶然	ǒurán
偶然性	ǒuránxìng
偶数	ǒushù
偶像	ǒuxiàng
偶一为之	ǒuyīwéizhī
耦合	ǒuhé
耦合度	ǒuhédù
耦色	ǒusè
藕断丝连	ǒuduànsīlián
藕荷	ǒuhé
藕色	ǒusè
沤心沥血	ōuxīnlìxuè
爬坡	pápō
爬山	páshān
爬行	páxíng
爬行动物	páxíngdòngwù
帕尔格霍夫	pàěrgéhuòfū
帕尔米拉	pàěrmǐlā
帕克蒂卡	pàkèdìkǎ
帕克蒂亚	pàkèdìyà
帕拉代斯	pàlādàisī
帕拉马里博	pàlāmǎlǐbó
帕默斯顿	pàmòsīdùn
帕斯卡	pàsīkǎ
帕特里克	pàtèlǐkè
帕特里奇	pàtèlǐqí
帕扎尔吉克	pàzhāěrjíkè
怕人	pàrén
怕死	pàsǐ
拍案	pāiàn
拍案而起	pāiànérqǐ
拍案叫绝	pāiànjiàojué
拍巴掌	pāibāzhǎng
拍板	pāibǎn
拍板成交	pāibǎnchéngjiāo
拍发	pāifā
拍马屁	pāimǎpì
拍卖	pāimài
拍卖场	pāimàichǎng
拍卖会	pāimàihuì
拍卖行	pāimàiháng
拍片	pāipiān
拍摄	pāishè
拍手称快	pāishǒuchēngkuài
拍手叫好	pāishǒujiàohǎo
拍戏	pāixì
拍照	pāizhào
俳句	páijù
徘徊	páihuái
排班	páibān
排版	páibǎn
排比	páibǐ
排笔	páibǐ
排兵布阵	páibīngbùzhèn
排布	páibù
排长	páizhǎng
排场	páichǎng
排斥	páichì
排斥力	páichìlì
排出	páichū
排除	páichú
排除法	páichúfǎ
排除万难	páichúwànnán
排除异己	páichúyìjǐ
排错	páicuò
排挡	páidǎng
排定	páidìng
排队	páiduì
排筏	páifá
排放	páifàng
排放量	páifàngliàng
排风扇	páifēngshàn
排骨	páigǔ
排灌	páiguàn
排灌站	páiguànzhàn
排汗	páihàn
排号	páihào
排洪	páihóng
排华	páihuá
排击	páijī
排挤	páijǐ
排架	páijià
排解	páijiě
排空	páikōng
排涝	páilào
排雷	páiléi
排联	páilián
排练	páiliàn
排练厅	páiliàntīng
排量	páiliàng
排列	páiliè
排列图标	páiliètúbiāo
排律	páilǜ
排卵	páiluǎn
排名	páimíng
排名表	páimíngbiǎo
排难解纷	páinànjiěfēn
排尿	páiniào
排偶	páiǒu
排排	páipái
排炮	páipào
排气	páiqì
排气口	páiqìkǒu
排气扇	páiqìshàn
排气装置	páiqìzhuāngzhì
排遣	páiqiǎn
排枪	páiqiāng
排球	páiqiú
排球场	páiqiúchǎng
排球赛	páiqiúsài
排沙简金	páishājiǎnjīn
排山倒海	páishāndǎohǎi
排水	páishuǐ
排水槽	páishuǐcáo
排水沟	páishuǐgōu
排水管	páishuǐguǎn
排水量	páishuǐliàng
排水系统	páishuǐxìtǒng
排水闸	páishuǐzhá
排他	páitā
排他性	páitāxìng
排坛	páitán
排头	páitóu
排头兵	páitóubīng
排土场	páitǔchǎng
排外	páiwài
排尾	páiwěi
排位	páiwèi
排污	páiwū
排戏	páixì
排险	páixiǎn
排箫	páixiāo
排协	páixié
排泄	páixiè
排泄物	páixièwù
排行	páiháng
排序	páixù
排揎	páixuān
排演	páiyǎn
排椅	páiyǐ
排印	páiyìn
排忧解难	páiyōujiěnàn
排运	páiyùn
排中律	páizhōnglǜ
排子车	páizǐchē
排字	páizì
牌坊	páifāng
牌号	páihào
牌价	páijià
牌照	páizhào
牌子	páizi
派别	pàibié
派兵	pàibīng
派出	pàichū
派出所	pàichūsuǒ
派发	pàifā
派克	pàikè
派克笔	pàikèbǐ
派遣	pàiqiǎn
派生	pàishēng
派头	pàitóu
派系	pàixì
派遗	pàiyí
派驻	pàizhù
潘集区	pānjíqū
潘克赫斯特	pānkèhèsītè
潘兴	pānxìng
攀比	pānbǐ
攀登	pāndēng
攀钢	pāngāng
攀供	pāngòng
攀龙附凤	pānlóngfùfèng
攀亲	pānqīn
攀谈	pāntán
攀折	pānzhé
攀枝花	pānzhīhuā
盘剥	pánbō
盘查	pánchá
盘车	pánchē
盘存	páncún
盘点	pándiǎn
盘根错节	pángēncuòjié
盘根错结	pángēncuòjié
盘根究底	pángēnjiūdǐ
盘根问底	pángēnwèndǐ
盘号	pánhào
盘结	pánjié
盘库	pánkù
盘马弯弓	pánmǎwāngōng
盘弄	pánnòng
盘曲	pánqǔ
盘绕	pánrào
盘石	pánshí
盘问	pánwèn
盘旋	pánxuán
盘帐	pánzhàng
盘子	pánzi
磐石	pánshí
蹒跚	pánshān
判案	pànàn
判别	pànbié
判别式	pànbiéshì
判处	pànchǔ
判定	pàndìng
判读	pàndú
判断	pànduàn
判断句	pànduànjù
判分	pànfēn
判据	pànjù
判决	pànjué
判决书	pànjuéshū
判例	pànlì
判明	pànmíng
判若鸿沟	pànruòhónggōu
判若两人	pànruòliǎngrén
判若云泥	pànruòyúnní
判刑	pànxíng
叛变	pànbiàn
叛国	pànguó
叛军	pànjūn
叛离	pànlí
叛乱	pànluàn
叛逃	pàntáo
叛徒	pàntú
盼头	pàntou
盼望	pànwàng
滂沱大雨	pángtuódàyǔ
庞大	pángdà
庞克	pángkè
庞然大物	pángrándàwù
旁边	pángbiān
旁侧	pángcè
旁观	pángguān
旁观者	pángguānzhě
旁观者清	pángguānzhěqīng
旁落	pángluò
旁门左道	pángménzuǒdào
旁敲侧击	pángqiāocèjī
旁切圆	pángqiēyuán
旁若无人	pángruòwúrén
旁听	pángtīng
旁通	pángtōng
旁系亲属	pángxìqīnshǔ
旁系血亲	pángxìxuèqīn
旁压力	pángyālì
旁遮普省	pángzhēpǔshěng
旁征博引	pángzhēngbóyǐn
旁证	pángzhèng
胖大海	pàngdàhǎi
抛锚	pāomáo
抛弃	pāoqì
抛撒	pāosā
抛售	pāoshòu
抛头露面	pāotóulùmiàn
抛掷	pāozhì
抛砖引玉	pāozhuānyǐnyù
刨根问底	páogēnwèndǐ
刨根问底儿	páogēnwèndǐér
咆哮如雷	páoxiàorúléi
庖丁解牛	páodīngjiěniú
炮兵	pàobīng
炮兵群	pàobīngqún
炮兵团	pàobīngtuán
炮车	pàochē
炮打	pàodǎ
炮弹	pàodàn
炮轰	pàohōng
炮灰	pàohuī
炮火	pàohuǒ
炮击	pàojī
炮舰	pàojiàn
炮舰外交	pàojiànwàijiāo
炮口	pàokǒu
炮楼	pàolóu
炮声	pàoshēng
炮手	pàoshǒu
炮塔	pàotǎ
炮台	pàotái
炮膛	pàotáng
炮艇	pàotǐng
炮筒	pàotǒng
炮筒子	pàotǒngzi
炮位	pàowèi
炮眼	pàoyǎn
炮衣	pàoyī
炮战	pàozhàn
炮制	páozhì
炮竹	pàozhú
炮子儿	pàozǐér
炮座	pàozuò
袍笏登场	páohùdēngchǎng
跑遍	pǎobiàn
跑表	páobiǎo
跑步	pǎobù
跑车	pǎochē
跑程	pǎochéng
跑单帮	pǎodānbāng
跑刀	pǎodāo
跑道	pǎodào
跑道儿	pǎodàoér
跑电	pǎodiàn
跑调	pǎodiào
跑动	pǎodòng
跑光	pǎoguāng
跑旱船	pǎohànchuán
跑江湖	pǎojiānghú
跑街	pǎojiē
跑开	pǎokāi
跑来	pǎolái
跑垒	pǎolěi
跑龙套	pǎolóngtào
跑路	pǎolù
跑马	pǎomǎ
跑马场	páomǎchǎng
跑马卖解	páomǎmàixiè
跑买卖	pǎomǎimɑi
跑冒滴漏	pǎomàodīlòu
跑面	pǎomiàn
跑跑	pǎopǎo
跑跑颠颠	pǎopǎodiāndiān
跑跑跳跳	pǎopǎotiàotiào
跑气	pǎoqì
跑去	pǎoqù
跑墒	pǎoshāng
跑上跑下	pǎoshàngpǎoxià
跑堂	pǎotáng
跑题	pǎotí
跑腿	páotuǐ
跑外	pǎowài
跑位	pǎowèi
跑鞋	pǎoxié
跑圆场	pǎoyuánchǎng
泡病号	pàobìnghào
泡菜	pàocài
泡茶	pàochá
泡点	pàodiǎn
泡饭	pàofàn
泡蘑菇	pàomógu
泡沫	pàomò
泡沫剂	pàomòjì
泡沫塑料	pàomòsùliào
泡沫橡胶	pàomòxiàngjiāo
泡泡	pàopāo
泡泡纱	pàopàoshā
泡泡糖	pàopàotáng
泡水	pàoshuǐ
